iter	Passed	Remaining
0	146	146312
1	149	74571
2	153	50894
3	156	38886
4	163	32578
5	167	27743
6	172	24405
7	174	21622
8	176	19446
9	178	17715
10	180	16260
11	182	15055
12	185	14078
13	187	13217
14	190	12479
15	192	11838
16	194	11264
17	197	10801
18	200	10349
19	202	9946
20	205	9564
21	208	9261
22	210	8951
23	213	8681
24	216	8442
25	218	8200
26	221	7971
27	223	7763
28	225	7566
29	228	7380
30	230	7214
31	232	7046
32	235	6899
33	238	6765
34	240	6621
35	242	6498
36	244	6370
37	246	6247
38	249	6149
39	251	6047
40	254	5947
41	256	5851
42	258	5756
43	260	5662
44	262	5572
45	264	5489
46	266	5406
47	269	5340
48	271	5275
49	273	5204
50	276	5139
51	278	5071
52	280	5007
53	282	4946
54	284	4892
55	287	4849
56	289	4795
57	292	4750
58	294	4702
59	297	4654
60	299	4609
61	301	4561
62	303	4517
63	306	4476
64	308	4433
65	310	4390
66	312	4353
67	314	4314
68	317	4277
69	319	4243
70	321	4208
71	324	4179
72	326	4151
73	328	4116
74	331	4086
75	333	4055
76	336	4027
77	338	3995
78	339	3963
79	342	3938
80	345	3916
81	347	3890
82	348	3852
83	351	3833
84	353	3807
85	356	3785
86	358	3762
87	360	3735
88	362	3713
89	364	3688
90	367	3669
91	369	3649
92	371	3625
93	373	3603
94	375	3579
95	377	3557
96	379	3536
97	382	3516
98	383	3492
99	385	3468
100	387	3446
101	389	3425
102	390	3401
103	392	3379
104	394	3359
105	395	3339
106	397	3317
107	399	3296
108	400	3275
109	402	3253
110	403	3232
111	405	3212
112	406	3194
113	408	3175
114	409	3154
115	411	3137
116	412	3116
117	414	3098
118	416	3079
119	417	3060
120	419	3047
121	420	3027
122	421	3008
123	423	2989
124	424	2973
125	426	2955
126	427	2935
127	428	2918
128	429	2902
129	431	2889
130	433	2873
131	434	2858
132	435	2842
133	437	2829
134	439	2815
135	440	2801
136	442	2786
137	444	2776
138	445	2762
139	447	2750
140	449	2735
141	450	2724
142	452	2711
143	453	2698
144	455	2684
145	457	2676
146	458	2663
147	459	2648
148	461	2633
149	462	2623
150	464	2609
151	465	2596
152	466	2583
153	468	2573
154	470	2564
155	471	2551
156	472	2539
157	474	2526
158	475	2515
159	476	2504
160	478	2491
161	479	2479
162	480	2467
163	482	2460
164	484	2450
165	485	2440
166	487	2429
167	488	2421
168	490	2413
169	492	2402
170	493	2392
171	495	2383
172	496	2372
173	497	2363
174	499	2353
175	500	2342
176	502	2336
177	503	2326
178	505	2316
179	506	2306
180	508	2299
181	509	2290
182	510	2280
183	512	2271
184	513	2264
185	515	2255
186	516	2246
187	518	2238
188	520	2231
189	521	2223
190	523	2215
191	524	2207
192	526	2200
193	527	2193
194	529	2185
195	531	2179
196	533	2173
197	534	2164
198	535	2156
199	537	2148
200	538	2141
201	540	2133
202	541	2125
203	542	2117
204	544	2110
205	545	2104
